LeagueName,season_year,avg_home_goals,avg_away_goals,avg_total_goals
Bundes,2005,1.65359477124183,1.2222222222222223,2.8758169934640523
Bundes,2006,1.5,1.2254901960784315,2.7254901960784315
Bundes,2007,1.591503267973856,1.2026143790849673,2.7941176470588234
Bundes,2008,1.7124183006535947,1.1993464052287581,2.911764705882353
Bundes,2009,1.5359477124183007,1.2450980392156863,2.781045751633987
Bundes,2010,1.6666666666666667,1.3660130718954249,3.0326797385620914
Bundes,2011,1.630718954248366,1.1503267973856208,2.781045751633987
Bundes,2012,1.5947712418300655,1.2843137254901962,2.8790849673202614
Bundes,2013,1.678688524590164,1.4032786885245903,3.081967213114754
Bundes,2014,1.6612377850162867,1.3127035830618892,2.973941368078176
Bundes,2015,1.5620915032679739,1.1895424836601307,2.7516339869281046
Bundes,2016,1.5791245791245792,1.202020202020202,2.781144781144781
Bundes,2017,1.6634920634920636,1.2253968253968255,2.888888888888889
Bundes,2018,1.6568627450980393,1.2712418300653594,2.9281045751633985
Bundes,2019,1.8137254901960784,1.4542483660130718,3.2679738562091503
Bundes,2020,1.5962962962962963,1.5851851851851853,3.1814814814814816
Bundes,2021,1.7543859649122806,1.263157894736842,3.017543859649123
Bundes,2022,1.7708333333333333,1.3958333333333333,3.1666666666666665
Bundes,2023,1.9235668789808917,1.3248407643312101,3.248407643312102
Bundes,2024,1.6979865771812082,1.4899328859060403,3.1879194630872485
Bundes,2025,1.6284722222222223,1.4652777777777777,3.09375
EPL,2005,1.3762886597938144,1.056701030927835,2.4329896907216493
EPL,2006,1.4771573604060915,0.9568527918781726,2.434010152284264
EPL,2007,1.5525606469002695,1.123989218328841,2.6765498652291106
EPL,2008,1.4116094986807388,1.1345646437994723,2.546174142480211
EPL,2009,1.5925925925925926,1.0582010582010581,2.6507936507936507
EPL,2010,1.5909090909090908,1.0561497326203209,2.6470588235294117
EPL,2011,1.6312997347480107,1.2519893899204244,2.883289124668435
EPL,2012,1.6138107416879794,1.1994884910485935,2.813299232736573
EPL,2013,1.5295698924731183,1.1720430107526882,2.7016129032258065
EPL,2014,1.5342105263157895,1.1894736842105262,2.723684210526316
EPL,2015,1.45,1.1210526315789473,2.5710526315789473
EPL,2016,1.5925925925925926,1.2301587301587302,2.822751322751323
EPL,2017,1.5211970074812968,1.1820448877805487,2.7032418952618453
EPL,2018,1.5660377358490567,1.215633423180593,2.7816711590296497
EPL,2019,1.5461741424802111,1.2559366754617414,2.8021108179419527
EPL,2020,1.4702380952380953,1.2351190476190477,2.705357142857143
EPL,2021,1.4313725490196079,1.2843137254901962,2.715686274509804
EPL,2022,1.5650969529085872,1.2742382271468145,2.839335180055402
EPL,2023,1.6674757281553398,1.2985436893203883,2.966019417475728
EPL,2024,1.6908602150537635,1.5161290322580645,3.206989247311828
EPL,2025,1.5467836257309941,1.3216374269005848,2.8684210526315788
LaLiga,2005,1.3352941176470587,1.1176470588235294,2.4529411764705884
LaLiga,2006,1.3794037940379404,1.08130081300813,2.4607046070460705
LaLiga,2007,1.411764705882353,1.1304347826086956,2.5421994884910486
LaLiga,2008,1.6486486486486487,1.1891891891891893,2.8378378378378377
LaLiga,2009,1.6189189189189188,1.2081081081081082,2.827027027027027
LaLiga,2010,1.6205128205128205,1.082051282051282,2.7025641025641027
LaLiga,2011,1.6289473684210527,1.0763157894736841,2.705263157894737
LaLiga,2012,1.6948717948717948,1.1538461538461537,2.848717948717949
LaLiga,2013,1.6842105263157894,1.2210526315789474,2.905263157894737
LaLiga,2014,1.5528455284552845,1.056910569105691,2.6097560975609757
LaLiga,2015,1.5307692307692307,1.0897435897435896,2.6205128205128205
LaLiga,2016,1.7,1.2243243243243243,2.924324324324324
LaLiga,2017,1.5923076923076922,1.2230769230769232,2.8153846153846156
LaLiga,2018,1.4921052631578948,1.1473684210526316,2.639473684210526
LaLiga,2019,1.537084398976982,1.0843989769820972,2.6214833759590794
LaLiga,2020,1.3295774647887324,1.0507042253521126,2.380281690140845
LaLiga,2021,1.4054054054054055,1.1474201474201475,2.552825552825553
LaLiga,2022,1.4080459770114941,1.0919540229885059,2.5
LaLiga,2023,1.4951219512195122,1.0853658536585367,2.580487804878049
LaLiga,2024,1.4803149606299213,1.146981627296588,2.627296587926509
LaLiga,2025,1.4387464387464388,1.150997150997151,2.58974358974359
SerieA,2005,1.5470588235294118,1.0647058823529412,2.611764705882353
SerieA,2006,1.4652956298200515,1.1156812339331619,2.5809768637532136
SerieA,2007,1.4918478260869565,1.0679347826086956,2.5597826086956523
SerieA,2008,1.5183246073298429,0.9869109947643979,2.505235602094241
SerieA,2009,1.4854111405835544,1.1458885941644563,2.6312997347480107
SerieA,2010,1.4986876640419948,1.0026246719160106,2.5013123359580054
SerieA,2011,1.4691689008042896,1.1099195710455765,2.579088471849866
SerieA,2012,1.5375,1.16,2.6975
SerieA,2013,1.508108108108108,1.1405405405405404,2.6486486486486487
SerieA,2014,1.4567567567567568,1.172972972972973,2.6297297297297297
SerieA,2015,1.5269922879177378,1.1516709511568124,2.67866323907455
SerieA,2016,1.5347043701799485,1.1645244215938304,2.6992287917737787
SerieA,2017,1.5923076923076922,1.3282051282051281,2.9205128205128204
SerieA,2018,1.4528795811518325,1.1596858638743455,2.612565445026178
SerieA,2019,1.5153203342618384,1.3036211699164346,2.818941504178273
SerieA,2020,1.6504297994269341,1.492836676217765,3.1432664756446993
SerieA,2021,1.631090487238979,1.3874709976798143,3.0185614849187936
SerieA,2022,1.4428152492668622,1.2023460410557185,2.6451612903225805
